Mnemonic:  EPS_PDAN_V_BAT
Conversion:  Default (EU)
Units:  Volts
Stream:  az1_rt1@bkusvr2
X Time,Y Value,Type,Status,Count
2024-Aug-27-22:00:00.000,32.5627651023865,Arch-hour/Average, ,-,
2024-Aug-27-22:00:00.000,32.5639871597290,Arch-hour/Average, ,-,
2024-Aug-27-23:00:00.000,32.5639871597290,Arch-hour/Average, ,-,
2024-Aug-27-23:00:00.000,32.5615106010437,Arch-hour/Average, ,-,
2024-Aug-28-00:00:00.000,32.5615106010437,Arch-hour/Average, ,-,
2024-Aug-28-00:00:00.000,32.5638681983948,Arch-hour/Average, ,-,Arch-hour/Average SB
2024-Aug-28-01:00:00.000,32.5638681983948,Arch-hour/Average, ,-,
2024-Aug-28-01:00:00.000,32.5614565277100,Arch-hour/Average, ,-,
2024-Aug-28-02:00:00.000,32.5614565277100,Arch-hour/Average, ,-,
2024-Aug-28-02:00:00.000,32.5646901130676,Arch-hour/Average, ,-,
2024-Aug-28-03:00:00.000,32.5646901130676,Arch-hour/Average, ,-,
2024-Aug-28-03:00:00.000,32.5633815383911,Arch-hour/Average, ,-,
2024-Aug-28-04:00:00.000,32.5633815383911,Arch-hour/Average, ,-,
2024-Aug-28-04:00:00.000,32.5585581970215,Arch-hour/Average, ,-,
2024-Aug-28-05:00:00.000,32.5585581970215,Arch-hour/Average, ,-,
2024-Aug-28-05:00:00.000,32.5564493370056,Arch-hour/Average, ,-,
2024-Aug-28-06:00:00.000,32.5564493370056,Arch-hour/Average, ,-,
2024-Aug-28-06:00:00.000,32.5543460629086,Arch-hour/Average, ,-,
2024-Aug-28-07:00:00.000,32.5543460629086,Arch-hour/Average, ,-,
2024-Aug-28-07:00:00.000,32.5762326900776,Arch-hour/Average, ,-,
2024-Aug-28-08:00:00.000,32.5762326900776,Arch-hour/Average, ,-,
2024-Aug-28-08:00:00.000,32.5894669070440,Arch-hour/Average, ,-,
2024-Aug-28-09:00:00.000,32.5894669070440,Arch-hour/Average, ,-,
2024-Aug-28-09:00:00.000,32.5683022117615,Arch-hour/Average, ,-,
2024-Aug-28-10:00:00.000,32.5683022117615,Arch-hour/Average, ,-,
2024-Aug-28-10:00:00.000,32.5595315170288,Arch-hour/Average, ,-,
2024-Aug-28-11:00:00.000,32.5595315170288,Arch-hour/Average, ,-,
2024-Aug-28-11:00:00.000,32.5602777290344,Arch-hour/Average, ,-,
2024-Aug-28-12:00:00.000,32.5602777290344,Arch-hour/Average, ,-,
2024-Aug-28-12:00:00.000,32.6840342552508,Arch-hour/Average, ,-,
2024-Aug-28-13:00:00.000,32.6840342552508,Arch-hour/Average, ,-,
2024-Aug-28-13:00:00.000,32.9166990030548,Arch-hour/Average, ,-,
2024-Aug-28-14:00:00.000,32.9166990030548,Arch-hour/Average, ,-,
2024-Aug-28-14:00:00.000,33.1229254111217,Arch-hour/Average, ,-,
2024-Aug-28-15:00:00.000,33.1229254111217,Arch-hour/Average, ,-,
2024-Aug-28-15:00:00.000,33.3679636995292,Arch-hour/Average, ,-,
2024-Aug-28-16:00:00.000,33.3679636995292,Arch-hour/Average, ,-,
2024-Aug-28-16:00:00.000,33.6408827431439,Arch-hour/Average, ,-,
2024-Aug-28-17:00:00.000,33.6408827431439,Arch-hour/Average, ,-,
2024-Aug-28-17:00:00.000,33.9507388706061,Arch-hour/Average, ,-,
2024-Aug-28-18:00:00.000,33.9507388706061,Arch-hour/Average, ,-,
2024-Aug-28-18:00:00.000,34.2713547011418,Arch-hour/Average, ,-,
2024-Aug-28-19:00:00.000,34.2713547011418,Arch-hour/Average, ,-,
2024-Aug-28-19:00:00.000,34.4101315849532,Arch-hour/Average, ,-,
2024-Aug-28-20:00:00.000,34.4101315849532,Arch-hour/Average, ,-,
2024-Aug-28-20:00:00.000,34.4008053278519,Arch-hour/Average, ,-,
2024-Aug-28-21:00:00.000,34.4008053278519,Arch-hour/Average, ,-,
2024-Aug-28-21:00:00.000,34.3995013618469,Arch-hour/Average, ,-,
2024-Aug-28-22:00:00.000,34.3995013618469,Arch-hour/Average, ,-,
2024-Aug-28-22:00:00.000,34.3984198951721,Arch-hour/Average, ,-,
2024-Aug-28-23:00:00.000,34.3984198951721,Arch-hour/Average, ,-,
2024-Aug-28-23:00:00.000,34.3968950271606,Arch-hour/Average, ,-,
2024-Aug-29-00:00:00.000,34.3968950271606,Arch-hour/Average, ,-,
2024-Aug-29-00:00:00.000,34.3943319511414,Arch-hour/Average, ,-,Arch-hour/Average SB
2024-Aug-29-01:00:00.000,34.3943319511414,Arch-hour/Average, ,-,
2024-Aug-29-01:00:00.000,34.3922879791260,Arch-hour/Average, ,-,
2024-Aug-29-02:00:00.000,34.3922879791260,Arch-hour/Average, ,-,
2024-Aug-29-02:00:00.000,34.3929368591309,Arch-hour/Average, ,-,
2024-Aug-29-03:00:00.000,34.3929368591309,Arch-hour/Average, ,-,
2024-Aug-29-03:00:00.000,34.3945806884766,Arch-hour/Average, ,-,
2024-Aug-29-04:00:00.000,34.3945806884766,Arch-hour/Average, ,-,
2024-Aug-29-04:00:00.000,34.3922808475453,Arch-hour/Average, ,-,
2024-Aug-29-05:00:00.000,34.3922808475453,Arch-hour/Average, ,-,
2024-Aug-29-05:00:00.000,34.3926046490520,Arch-hour/Average, ,-,
2024-Aug-29-06:00:00.000,34.3926046490520,Arch-hour/Average, ,-,
2024-Aug-29-06:00:00.000,34.3708460998535,Arch-hour/Average, ,-,
2024-Aug-29-07:00:00.000,34.3708460998535,Arch-hour/Average, ,-,
2024-Aug-29-07:00:00.000,34.3159748840332,Arch-hour/Average, ,-,
2024-Aug-29-08:00:00.000,34.3159748840332,Arch-hour/Average, ,-,
2024-Aug-29-08:00:00.000,34.3159994478391,Arch-hour/Average, ,-,
2024-Aug-29-09:00:00.000,34.3159994478391,Arch-hour/Average, ,-,
2024-Aug-29-09:00:00.000,34.3132435798645,Arch-hour/Average, ,-,
2024-Aug-29-10:00:00.000,34.3132435798645,Arch-hour/Average, ,-,
