date,device,failure,metric1
2024-Aug-27-21:00:00.000,EPS_PDAN_V_BAT,0,32.5651551437378
2024-Aug-27-21:00:00.000,EPS_PDAN_V_BAT,0,32.5627651023865
2024-Aug-27-22:00:00.000,EPS_PDAN_V_BAT,0,32.5627651023865
2024-Aug-27-22:00:00.000,EPS_PDAN_V_BAT,0,32.5639871597290
2024-Aug-27-23:00:00.000,EPS_PDAN_V_BAT,0,32.5639871597290
2024-Aug-27-23:00:00.000,EPS_PDAN_V_BAT,0,32.5615106010437
2024-Aug-28-00:00:00.000,EPS_PDAN_V_BAT,0,32.5615106010437
2024-Aug-28-00:00:00.000,EPS_PDAN_V_BAT,0,32.5638681983948
2024-Aug-28-01:00:00.000,EPS_PDAN_V_BAT,0,32.5638681983948
2024-Aug-28-01:00:00.000,EPS_PDAN_V_BAT,0,32.5614565277100
2024-Aug-28-02:00:00.000,EPS_PDAN_V_BAT,0,32.5614565277100
2024-Aug-28-02:00:00.000,EPS_PDAN_V_BAT,0,32.5646901130676
2024-Aug-28-03:00:00.000,EPS_PDAN_V_BAT,0,32.5646901130676
2024-Aug-28-03:00:00.000,EPS_PDAN_V_BAT,0,32.5633815383911
2024-Aug-28-04:00:00.000,EPS_PDAN_V_BAT,0,32.5633815383911
2024-Aug-28-04:00:00.000,EPS_PDAN_V_BAT,0,32.5585581970215
2024-Aug-28-05:00:00.000,EPS_PDAN_V_BAT,0,32.5585581970215
2024-Aug-28-05:00:00.000,EPS_PDAN_V_BAT,0,32.5564493370056
2024-Aug-28-06:00:00.000,EPS_PDAN_V_BAT,0,32.5564493370056
2024-Aug-28-06:00:00.000,EPS_PDAN_V_BAT,0,32.5543460629086
2024-Aug-28-07:00:00.000,EPS_PDAN_V_BAT,0,32.5543460629086
2024-Aug-28-07:00:00.000,EPS_PDAN_V_BAT,0,32.5762326900776
2024-Aug-28-08:00:00.000,EPS_PDAN_V_BAT,0,32.5762326900776
2024-Aug-28-08:00:00.000,EPS_PDAN_V_BAT,0,32.5894669070440
2024-Aug-28-09:00:00.000,EPS_PDAN_V_BAT,0,32.5894669070440
2024-Aug-28-09:00:00.000,EPS_PDAN_V_BAT,0,32.5683022117615
2024-Aug-28-10:00:00.000,EPS_PDAN_V_BAT,0,32.5683022117615
2024-Aug-28-10:00:00.000,EPS_PDAN_V_BAT,0,32.5595315170288
2024-Aug-28-11:00:00.000,EPS_PDAN_V_BAT,0,32.5595315170288
2024-Aug-28-11:00:00.000,EPS_PDAN_V_BAT,0,32.5602777290344
2024-Aug-28-12:00:00.000,EPS_PDAN_V_BAT,0,32.5602777290344
2024-Aug-28-12:00:00.000,EPS_PDAN_V_BAT,0,32.6840342552508
2024-Aug-28-13:00:00.000,EPS_PDAN_V_BAT,0,32.6840342552508
2024-Aug-28-13:00:00.000,EPS_PDAN_V_BAT,0,32.9166990030548
2024-Aug-28-14:00:00.000,EPS_PDAN_V_BAT,0,32.9166990030548
2024-Aug-28-14:00:00.000,EPS_PDAN_V_BAT,0,33.1229254111217
2024-Aug-28-15:00:00.000,EPS_PDAN_V_BAT,0,33.1229254111217
